PointID..G,Latitude,Longitude,UTM_E,UTM_N,DistBouldEdge,DistMussEdge,Area10m,Perim10m,PerAreaRatio10m,RatioLog,Treatment,Black.goby,Brittlestar,Crab,Green.crab,Hermit.crab,Isopod,Baltic.prawn,Lesser.pipefish,Mysid,Crangon.prawn,Rock.gunnel,Sand.goby,Seastar,Shortfin.sculpin,Flatfish,Spider.crab,Spinach.spinach,Straightnosed.pipefish,Three.spined.stickleback,Tiger,Urchin,Periwinkle,Whelk,Richness,Shannon,Simpson,InvSimpson,Evenness,DeltaPlus
B180,55.68713017,9.68062004,542790.7055,6171468.843,65.33198594,154.3261659,12.92797852,41.6366911,3.220665246,1.439992757,Bare,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0.762104222,0.46875,1.882352941,0.426674637,82.94575254
B183,55.68684354,9.68010128,542758.4043,6171436.625,108.4859288,188.6594103,13.67895508,50.18525539,3.668793055,1.540900592,Bare,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0.63903186,0.34,1.515151515,0.309481337,100
B202,55.68692786,9.68095167,542811.7758,6171446.533,58.11806726,178.3347941,5.854003906,13.5601304,2.316385609,1.198875518,Bare,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,26,4,0.71947781,0.359963269,1.56241033,0.259658612,91.47287627
B205,55.68665447,9.68042946,542779.2432,6171415.786,102.0873865,207.477175,0.848632813,7.860958598,9.263085851,2.32855356,Bare,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0.673011667,0.48,1.923076923,0.69249362,100
B223,55.68682862,9.68144281,542842.762,6171435.792,40.58542765,195.4864077,55.09960938,108.0033475,1.960147245,1.085239012,Bare,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1.039720771,0.625,2.666666667,0.568899517,100
B260,55.68616232,9.68124266,542830.9069,6171361.517,96.97015197,229.2294333,46.15014648,133.177916,2.885752835,1.357316745,Bare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,NA,NA
B317,55.68548333,9.68170175,542860.5128,6171286.236,125.885092,192.0971268,0,0,0,0,Bare,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,5,5,1.366711052,0.694214876,3.27027027,0.431339955,87.22445131
B35,55.68858404,9.67885778,542678.3303,6171629.557,148.6316711,80.58627267,62.6418457,124.1031136,1.981153528,1.092310316,Bare,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,8,4,1.054720917,0.581632653,2.390243902,0.419559272,91.47287627
B84,55.68774112,9.67863213,542665.0622,6171535.611,142.5117779,135.7267235,55.864,113.888,2.03866533,1.111418383,Bare,0,0,0,0,0,0,0,0,2,9,0,0,0,0,3,0,0,0,0,0,0,2,14,5,1.308189068,0.673333333,3.06122449,0.418365523,89.76745153
B88,55.68736652,9.67794198,542622.0812,6171493.498,201.4383213,209.6607534,0.166259766,3.6784686,22.12482729,3.140906815,Bare,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1.088899975,0.66,2.941176471,0.60075789,82.94575254
N1,55.6859984,9.68098362,542814.8,6171343.114,121.2884837,240.92369,155.8312988,155.2260406,0.996115939,0.691203262,Natural,0,0,0,3,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1.298418157,0.703601108,3.373831776,0.507540915,87.23454259
N2,55.68667451,9.68167693,542857.6496,6171418.786,38.99631422,216.2430681,149.1333008,420.245393,2.817917868,1.339705213,Natural,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,0.916068137,0.470588235,1.888888889,0.339457657,91.47287627
N3,55.68663083,9.67921094,542702.6608,6171412.404,168.9804474,226.9265145,144.8388672,131.03605,0.904702257,0.644325701,Natural,0,0,0,3,0,2,12,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,1,7,1.442033455,0.69393718,3.267303103,0.356613167,78.29604266
N4,55.68709605,9.68100269,542814.7996,6171465.282,45.46457142,160.2895049,119.1606445,155.5769501,1.30560682,0.835343904,Natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,0.673011667,0.48,1.923076923,0.69249362,48.83725763
N5,55.68743583,9.68029802,542770.1268,6171502.661,62.07210688,121.6208566,128.9057617,193.4058673,1.500366351,0.916437262,Natural,0,0,0,2,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,6,1.543029319,0.75,4,0.41858297,77.15741899
N6,55.68783745,9.6787823,542674.3982,6171546.423,142.5117779,135.7267235,227.161377,186.4789449,0.820909555,0.599336132,Natural,0,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1.735126457,0.814814815,5.4,0.454756807,74.44890263
N7,55.68722203,9.677481,542593.257,6171477.134,233.6302569,242.3791588,232.5595703,157.8785968,0.678873789,0.518123205,Natural,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0.848685558,0.49382716,1.975609756,0.449500853,74.46908517
SS2019-01,55.68869653,9.67834966,542646.264,6171641.763,182.9184595,97.9356976,233.2351074,116.5907057,0.499884889,0.405388364,4-years-old,0,0,0,0,0,2,4,0,0,2,0,0,2,0,0,0,0,1,0,0,0,22,1,7,1.240860686,0.555363322,2.249027237,0.28540029,89.04376326
SS2019-02,55.68859743,9.6785163,542656.8479,6171630.837,169.506678,96.52980374,271.8344727,88.69805321,0.326294352,0.282388852,4-years-old,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,4,0.960945528,0.501560874,2.006263048,0.361799693,82.94575254
